epoch,step,train_loss
0,49,5.182072162628174
1,99,4.2049994468688965
2,149,3.846616744995117
3,199,3.642948627471924
4,249,3.5150036811828613
5,299,3.4184067249298096
6,349,3.300910711288452
7,399,3.2668251991271973
8,449,3.268204689025879
9,499,3.2044949531555176
