train_loss,epoch,step
4.210698127746582,0,49
3.641918659210205,1,99
3.1518611907958984,2,149
2.9036660194396973,3,199
2.72238826751709,4,249
2.600452184677124,5,299
2.536299467086792,6,349
2.369964361190796,7,399
2.249852180480957,8,449
2.17010235786438,9,499
2.1118977069854736,10,549
2.0735878944396973,11,599
1.9902952909469604,12,649
1.9079492092132568,13,699
1.8930107355117798,14,749
1.8768903017044067,15,799
1.8277587890625,16,849
1.7411854267120361,17,899
1.7123963832855225,18,949
1.7019691467285156,19,999
1.6368986368179321,20,1049
1.6708433628082275,21,1099
1.6425243616104126,22,1149
1.5978367328643799,23,1199
1.5741400718688965,24,1249
1.5870054960250854,25,1299
1.5452195405960083,26,1349
1.5510295629501343,27,1399
1.5284019708633423,28,1449
1.514365792274475,29,1499
1.4888160228729248,30,1549
1.4911978244781494,31,1599
1.476988673210144,32,1649
1.4766963720321655,33,1699
1.443199872970581,34,1749
1.4362289905548096,35,1799
1.4091856479644775,36,1849
1.3990426063537598,37,1899
1.4048701524734497,38,1949
1.3417365550994873,39,1999
1.361770510673523,40,2049
1.3491692543029785,41,2099
1.3505620956420898,42,2149
1.3417381048202515,43,2199
1.3227219581604004,44,2249
1.3119388818740845,45,2299
1.2935675382614136,46,2349
1.281261920928955,47,2399
1.2793219089508057,48,2449
1.2786874771118164,49,2499
1.267146348953247,50,2549
1.2373394966125488,51,2599
1.2055747509002686,52,2649
1.2340220212936401,53,2699
1.2396724224090576,54,2749
1.1853530406951904,55,2799
1.1919554471969604,56,2849
1.186608910560608,57,2899
1.1617358922958374,58,2949
1.1516600847244263,59,2999
1.173210620880127,60,3049
1.1260544061660767,61,3099
1.152794599533081,62,3149
1.1322845220565796,63,3199
1.1351299285888672,64,3249
1.1185681819915771,65,3299
1.0930562019348145,66,3349
1.0832610130310059,67,3399
1.0689589977264404,68,3449
1.0972099304199219,69,3499
1.0823490619659424,70,3549
1.0747849941253662,71,3599
1.0468674898147583,72,3649
1.0562019348144531,73,3699
1.0895934104919434,74,3749
1.011939287185669,75,3799
1.0122097730636597,76,3849
1.017148494720459,77,3899
1.0233155488967896,78,3949
0.9896978139877319,79,3999
0.9882216453552246,80,4049
1.0001636743545532,81,4099
0.9822959899902344,82,4149
0.9962347149848938,83,4199
0.9580222368240356,84,4249
0.9612895846366882,85,4299
0.957354724407196,86,4349
0.9384589195251465,87,4399
1.0093576908111572,88,4449
0.9658884406089783,89,4499
0.9484516382217407,90,4549
0.959159791469574,91,4599
0.9210888147354126,92,4649
0.9258551001548767,93,4699
0.9112311005592346,94,4749
0.9109813570976257,95,4799
0.876732587814331,96,4849
0.9177114963531494,97,4899
0.8977803587913513,98,4949
0.865805447101593,99,4999
