step,train_loss,epoch
49,5.854246616363525,0
99,5.538817882537842,1
149,5.4067912101745605,2
199,5.1799211502075195,3
249,5.028913497924805,4
299,4.968138694763184,5
349,4.874658584594727,6
399,4.747073650360107,7
449,4.7621331214904785,8
499,4.6650214195251465,9
549,4.672252655029297,10
599,4.6443610191345215,11
649,4.632236003875732,12
699,4.573095321655273,13
749,4.552093029022217,14
799,4.522965908050537,15
849,4.484007835388184,16
899,4.473472595214844,17
949,4.4365739822387695,18
999,4.4124836921691895,19
1049,4.33049201965332,20
1099,4.272813320159912,21
1149,4.257226467132568,22
1199,4.210916042327881,23
1249,4.213827133178711,24
1299,4.176521301269531,25
1349,4.187974452972412,26
1399,4.161065578460693,27
1449,4.161066055297852,28
1499,4.145711898803711,29
1549,4.136341094970703,30
1599,4.110409259796143,31
1649,4.083949089050293,32
1699,4.088637828826904,33
1749,4.082795143127441,34
1799,4.0654072761535645,35
1849,4.0501508712768555,36
1899,4.038183212280273,37
1949,4.036296844482422,38
1999,4.028838634490967,39
2049,4.01508903503418,40
2099,4.020792484283447,41
2149,3.996988296508789,42
2199,3.9847793579101562,43
2249,3.9769842624664307,44
2299,3.9746878147125244,45
2349,3.972179651260376,46
2399,4.017908096313477,47
2449,3.982321262359619,48
2499,3.9638283252716064,49
2549,3.9284420013427734,50
2599,3.9194705486297607,51
2649,3.8900814056396484,52
2699,3.8911995887756348,53
2749,3.8893914222717285,54
2799,3.9153409004211426,55
2849,3.9507718086242676,56
2899,3.8549888134002686,57
2949,3.841555595397949,58
2999,3.833670139312744,59
3049,3.844558000564575,60
3099,3.820652484893799,61
3149,3.8216195106506348,62
3199,3.817197322845459,63
3249,3.811480760574341,64
3299,3.783555030822754,65
3349,3.811136245727539,66
3399,3.8432817459106445,67
3449,3.912651777267456,68
3499,3.848329544067383,69
3549,3.813612937927246,70
3599,3.7490267753601074,71
3649,3.750669002532959,72
3699,3.7408273220062256,73
3749,3.737131118774414,74
3799,3.726919651031494,75
3849,3.716477870941162,76
3899,3.7091119289398193,77
3949,3.7061939239501953,78
3999,3.700446367263794,79
4049,3.7075650691986084,80
4099,3.6783106327056885,81
4149,3.6919913291931152,82
4199,3.6962876319885254,83
4249,3.6832470893859863,84
4299,3.6694703102111816,85
4349,3.683664560317993,86
4399,3.6674749851226807,87
4449,3.6539666652679443,88
4499,3.680255651473999,89
4549,3.6504321098327637,90
4599,3.6320691108703613,91
4649,3.6173081398010254,92
4699,3.6313042640686035,93
4749,3.623326063156128,94
4799,3.6197328567504883,95
4849,3.631239414215088,96
4899,3.6415183544158936,97
4949,3.744943857192993,98
4999,3.673379421234131,99
5049,3.608701467514038,100
5099,3.5913314819335938,101
5149,3.589660882949829,102
5199,3.598376750946045,103
5249,3.5981762409210205,104
5299,3.575970411300659,105
5349,3.584639310836792,106
5399,3.5702033042907715,107
5449,3.5630648136138916,108
5499,3.573469638824463,109
5549,3.572887897491455,110
5599,3.5660958290100098,111
5649,3.5561249256134033,112
5699,3.554323434829712,113
5749,3.566065788269043,114
5799,3.564296007156372,115
5849,3.5480871200561523,116
5899,3.543816328048706,117
5949,3.5435144901275635,118
5999,3.5394246578216553,119
6049,3.525763511657715,120
6099,3.546187400817871,121
6149,3.5273032188415527,122
6199,3.541226863861084,123
6249,3.5193631649017334,124
6299,3.5216610431671143,125
6349,3.5375711917877197,126
6399,3.5426862239837646,127
6449,3.537975549697876,128
6499,3.5374746322631836,129
6549,3.5116989612579346,130
6599,3.490521192550659,131
6649,3.4788756370544434,132
6699,3.496596097946167,133
6749,3.5143587589263916,134
6799,3.5081002712249756,135
6849,3.4787464141845703,136
6899,3.505568027496338,137
6949,3.488872766494751,138
6999,3.4978837966918945,139
7049,3.5033655166625977,140
7099,3.5667734146118164,141
7149,3.6116628646850586,142
7199,3.5873970985412598,143
7249,3.4128482341766357,144
7299,3.35343599319458,145
7349,3.3215041160583496,146
7399,3.2924792766571045,147
7449,3.288130521774292,148
7499,3.288912773132324,149
7549,3.2788078784942627,150
7599,3.2747063636779785,151
7649,3.281130790710449,152
7699,3.2844607830047607,153
7749,3.2845394611358643,154
7799,3.2945079803466797,155
7849,3.2599596977233887,156
7899,3.2755823135375977,157
7949,3.2831010818481445,158
7999,3.27811861038208,159
8049,3.2540323734283447,160
8099,3.2575793266296387,161
8149,3.260305881500244,162
8199,3.248619794845581,163
8249,3.2621140480041504,164
8299,3.274235248565674,165
8349,3.2700023651123047,166
8399,3.2755446434020996,167
8449,3.2721502780914307,168
8499,3.2469892501831055,169
8549,3.25795841217041,170
8599,3.2501022815704346,171
8649,3.2475037574768066,172
8699,3.251821279525757,173
8749,3.2413692474365234,174
8799,3.2497429847717285,175
8849,3.237781286239624,176
8899,3.261617660522461,177
8949,3.242508888244629,178
8999,3.2437584400177,179
9049,3.234940528869629,180
9099,3.2358696460723877,181
9149,3.2437055110931396,182
9199,3.2280826568603516,183
9249,3.254216194152832,184
9299,3.2246384620666504,185
9349,3.215336561203003,186
9399,3.229524612426758,187
9449,3.2241647243499756,188
9499,3.250894069671631,189
9549,3.2323033809661865,190
9599,3.222507953643799,191
9649,3.208829402923584,192
9699,3.210171699523926,193
9749,3.2243471145629883,194
9799,3.2183361053466797,195
9849,3.2115859985351562,196
9899,3.217301368713379,197
9949,3.2241098880767822,198
9999,3.227821111679077,199
