step,train_loss,epoch
49,5.976083278656006,0
99,5.5186052322387695,1
149,5.505021572113037,2
199,5.2923455238342285,3
249,5.208637714385986,4
299,4.963329315185547,5
349,4.916778087615967,6
399,4.933806896209717,7
449,4.8649067878723145,8
499,4.744219779968262,9
549,4.807816982269287,10
599,4.717933177947998,11
649,4.6560516357421875,12
699,4.649677753448486,13
749,4.671229839324951,14
799,4.599643230438232,15
849,4.592339038848877,16
899,4.516501426696777,17
949,4.4727678298950195,18
999,4.411752700805664,19
1049,4.496888637542725,20
1099,4.383879661560059,21
1149,4.362082004547119,22
1199,4.336709976196289,23
1249,4.303982734680176,24
1299,4.279244422912598,25
1349,4.203166961669922,26
1399,4.20399284362793,27
1449,4.200761318206787,28
1499,4.232438087463379,29
1549,4.18759298324585,30
1599,4.204063892364502,31
1649,4.224939823150635,32
1699,4.185572147369385,33
1749,4.131044387817383,34
1799,4.262452602386475,35
1849,4.111745357513428,36
1899,4.071289539337158,37
1949,4.124231338500977,38
1999,4.046673774719238,39
2049,4.007838249206543,40
2099,3.9780709743499756,41
2149,4.008955001831055,42
2199,3.925764560699463,43
2249,4.0259108543396,44
2299,4.163949966430664,45
2349,4.131381511688232,46
2399,4.0855584144592285,47
2449,4.067190647125244,48
2499,4.009737014770508,49
2549,3.8690128326416016,50
2599,3.854538917541504,51
2649,3.923469305038452,52
2699,3.8191051483154297,53
2749,3.8065404891967773,54
2799,3.8485476970672607,55
2849,3.8595056533813477,56
2899,3.8247339725494385,57
2949,3.833862066268921,58
2999,3.7960386276245117,59
3049,3.8084211349487305,60
3099,3.8317739963531494,61
3149,3.774782657623291,62
3199,3.7680890560150146,63
3249,3.749837875366211,64
3299,3.7885022163391113,65
3349,3.7207181453704834,66
3399,3.7062010765075684,67
3449,3.780510187149048,68
3499,3.7209465503692627,69
3549,3.725209951400757,70
3599,3.7070188522338867,71
3649,3.677402973175049,72
3699,3.7286760807037354,73
3749,3.64390230178833,74
3799,3.7384872436523438,75
3849,3.598202705383301,76
3899,3.6446945667266846,77
3949,3.812405586242676,78
3999,3.628692865371704,79
4049,3.5625815391540527,80
4099,3.6469979286193848,81
4149,3.612250328063965,82
4199,3.631819725036621,83
4249,3.568235397338867,84
4299,3.6210532188415527,85
4349,3.5837552547454834,86
4399,3.6316375732421875,87
4449,3.6398398876190186,88
4499,3.605971097946167,89
4549,3.5211610794067383,90
4599,3.4506664276123047,91
4649,3.6669137477874756,92
4699,3.5451648235321045,93
4749,3.5885584354400635,94
4799,3.532773971557617,95
4849,3.531614303588867,96
4899,3.5704119205474854,97
4949,3.522932529449463,98
4999,3.540242910385132,99
