epoch,step,train_loss
0,49,5.199663162231445
1,99,4.235922336578369
2,149,3.867860794067383
3,199,3.722327947616577
4,249,3.6302030086517334
5,299,3.5439746379852295
6,349,3.4805831909179688
7,399,3.424314498901367
8,449,3.310547113418579
9,499,3.278930902481079
